date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:22:00	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2012%20Mar%202019%2008:21:59%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/material/ui-list-media.html	D:/wrappixel%20material-pro/wrappixel%20material-pro/wrappixel.com/demos/admin-templates/material-pro/material/ui-list-media.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/ui-nestable.html)
15:22:00	0/-1	---M--	301	error ('')			https://wrappixel.com/demos/admin-templates/material-pro/material/layout-logo-center.html	D:/wrappixel%20material-pro/wrappixel%20material-pro/wrappixel.com/demos/admin-templates/material-pro/material/layout-logo-center.150.delayed	(from https://wrappixel.com/demos/admin-templates/material-pro/material/ui-nestable.html)
15:22:00	17965/17965	---M-Z	200	added ('OK')	application/javascript	etag:%22462d-580e4e677f266-gzip%22	https://wrappixel.com/demos/admin-templates/material-pro/assets/plugins/nestable/jquery.nestable.js	D:/wrappixel%20material-pro/wrappixel%20material-pro/wrappixel.com/demos/admin-templates/material-pro/assets/plugins/nestable/jquery.nestable.js	(from https://wrappixel.com/demos/admin-templates/material-pro/material/ui-nestable.html)
15:22:00	3355/3355	---M-Z	200	added ('OK')	text/css	etag:%22d1b-580e4e676d156-gzip%22	https://wrappixel.com/demos/admin-templates/material-pro/assets/plugins/ion-rangeslider/css/ion.rangeSlider.css	D:/wrappixel%20material-pro/wrappixel%20material-pro/wrappixel.com/demos/admin-templates/material-pro/assets/plugins/ion-rangeslider/css/ion.rangeSlider.css	(from https://wrappixel.com/demos/admin-templates/material-pro/material/ui-range-slider.html)
15:22:01	2304/2304	---M-Z	200	added ('OK')	text/css	etag:%22900-580e4e676d156-gzip%22	https://wrappixel.com/demos/admin-templates/material-pro/assets/plugins/ion-rangeslider/css/ion.rangeSlider.skinModern.css	D:/wrappixel%20material-pro/wrappixel%20material-pro/wrappixel.com/demos/admin-templates/material-pro/assets/plugins/ion-rangeslider/css/ion.rangeSlider.skinModern.css	(from https://wrappixel.com/demos/admin-templates/material-pro/material/ui-range-slider.html)
15:22:02	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2012%20Mar%202019%2008:22:00%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/material/login.html	D:/wrappixel%20material-pro/wrappixel%20material-pro/wrappixel.com/demos/admin-templates/material-pro/material/login.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/ui-range-slider.html)
15:22:02	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2012%20Mar%202019%2008:22:01%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/material/ui-list-media.html	D:/wrappixel%20material-pro/wrappixel%20material-pro/wrappixel.com/demos/admin-templates/material-pro/material/ui-list-media.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/ui-range-slider.html)
15:22:02	0/-1	---M--	301	error ('')			https://wrappixel.com/demos/admin-templates/material-pro/material/layout-logo-center.html	D:/wrappixel%20material-pro/wrappixel%20material-pro/wrappixel.com/demos/admin-templates/material-pro/material/layout-logo-center.156.delayed	(from https://wrappixel.com/demos/admin-templates/material-pro/material/ui-range-slider.html)
15:22:02	39701/39701	---M-Z	200	added ('OK')	application/javascript	etag:%229b15-580e4e676d53e-gzip%22	https://wrappixel.com/demos/admin-templates/material-pro/assets/plugins/ion-rangeslider/js/ion-rangeSlider/ion.rangeSlider.min.js	D:/wrappixel%20material-pro/wrappixel%20material-pro/wrappixel.com/demos/admin-templates/material-pro/assets/plugins/ion-rangeslider/js/ion-rangeSlider/ion.rangeSlider.min.js	(from https://wrappixel.com/demos/admin-templates/material-pro/material/ui-range-slider.html)
15:22:03	893/893	---M-Z	200	added ('OK')	application/javascript	etag:%2237d-580e4e676d53e-gzip%22	https://wrappixel.com/demos/admin-templates/material-pro/assets/plugins/ion-rangeslider/js/ion-rangeSlider/ion.rangeSlider-init.js	D:/wrappixel%20material-pro/wrappixel%20material-pro/wrappixel.com/demos/admin-templates/material-pro/assets/plugins/ion-rangeslider/js/ion-rangeSlider/ion.rangeSlider-init.js	(from https://wrappixel.com/demos/admin-templates/material-pro/material/ui-range-slider.html)
15:22:04	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2012%20Mar%202019%2008:22:02%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/material/login.html	D:/wrappixel%20material-pro/wrappixel%20material-pro/wrappixel.com/demos/admin-templates/material-pro/material/login.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/ui-timeline.html)
15:22:04	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2012%20Mar%202019%2008:22:03%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/material/ui-list-media.html	D:/wrappixel%20material-pro/wrappixel%20material-pro/wrappixel.com/demos/admin-templates/material-pro/material/ui-list-media.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/ui-timeline.html)
15:22:04	0/-1	---M--	301	error ('')			https://wrappixel.com/demos/admin-templates/material-pro/material/layout-logo-center.html	D:/wrappixel%20material-pro/wrappixel%20material-pro/wrappixel.com/demos/admin-templates/material-pro/material/layout-logo-center.15b.delayed	(from https://wrappixel.com/demos/admin-templates/material-pro/material/ui-timeline.html)
15:22:05	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2012%20Mar%202019%2008:22:03%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/material/login.html	D:/wrappixel%20material-pro/wrappixel%20material-pro/wrappixel.com/demos/admin-templates/material-pro/material/login.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/ui-typography.html)
15:22:05	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2012%20Mar%202019%2008:22:04%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/material/ui-list-media.html	D:/wrappixel%20material-pro/wrappixel%20material-pro/wrappixel.com/demos/admin-templates/material-pro/material/ui-list-media.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/ui-typography.html)
15:22:05	0/-1	---M--	301	error ('')			https://wrappixel.com/demos/admin-templates/material-pro/material/layout-logo-center.html	D:/wrappixel%20material-pro/wrappixel%20material-pro/wrappixel.com/demos/admin-templates/material-pro/material/layout-logo-center.15e.delayed	(from https://wrappixel.com/demos/admin-templates/material-pro/material/ui-typography.html)
15:22:05	10374/10374	---M-Z	200	added ('OK')	text/css	etag:%222886-580e4e67692d6-gzip%22	https://wrappixel.com/demos/admin-templates/material-pro/assets/plugins/horizontal-timeline/css/horizontal-timeline.css	D:/wrappixel%20material-pro/wrappixel%20material-pro/wrappixel.com/demos/admin-templates/material-pro/assets/plugins/horizontal-timeline/css/horizontal-timeline.css	(from https://wrappixel.com/demos/admin-templates/material-pro/material/ui-horizontal-timeline.html)
